huc_12,subwatershed_description,rps_slope_mean,rps_elevation_mean,acres,sq_mile,states,huc_2,huc_4,huc_6,huc_8,huc_10,region_description,subregion_description,basin_description,subbasin_description,watershed_description
020402050502,upper_christina_river,2.23,172.46,15613,63.18,"md,pa,de",02,0204,020402,02040205,0204020505,mid-atlantic,lower_delaware,lower_delaware,brandywine-chrisina,christina_river
020501010101,ocquionis_creek,3.42,1519.72,14472.81,22.61,ny,02,0205,020501,02050101,0205010101,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,canadarago_lake
020501010102,herkimer_creek-canadarago_lake,5.73,1542.45,26369.66,41.2,ny,02,0205,020501,02050101,0205010101,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,canadarago_lake
020501010103,oaks_creek,6.96,1538.81,24846.63,38.82,ny,02,0205,020501,02050101,0205010101,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,canadarago_lake
020501010201,pleasant_brook,8.69,1785.5,14473.95,22.61,ny,02,0205,020501,02050101,0205010102,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,cherry_valley_creek
020501010202,upper_cherry_valley_creek,8.33,1636.89,16378.19,25.59,ny,02,0205,020501,02050101,0205010102,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,cherry_valley_creek
020501010203,middle_cherry_valley_creek,7.27,1629.11,13101.53,20.47,ny,02,0205,020501,02050101,0205010102,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,cherry_valley_creek
020501010204,lower_cherry_valley_creek,7.93,1550.09,14704.86,22.97,ny,02,0205,020501,02050101,0205010102,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,cherry_valley_creek
020501010301,upper_schenevus_creek,8.73,1870.8,25255.16,39.46,ny,02,0205,020501,02050101,0205010103,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,schenevus_creek
020501010302,elk_creek,8.63,1800.68,21134.49,33.02,ny,02,0205,020501,02050101,0205010103,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,schenevus_creek
020501010303,middle_schenevus_creek,9.81,1716.26,15210.36,23.76,ny,02,0205,020501,02050101,0205010103,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,schenevus_creek
020501010304,lower_schenevus_creek,7.37,1591.36,15038.36,23.49,ny,02,0205,020501,02050101,0205010103,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,schenevus_creek
020501010401,center_brook,7.26,1919.83,10152.03,15.86,ny,02,0205,020501,02050101,0205010104,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,charlotte_creek
020501010402,middle_brook,6.46,1849.22,22580.2,35.28,ny,02,0205,020501,02050101,0205010104,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,charlotte_creek
020501010403,upper_charlotte_creek,7.47,1974.34,24363.44,38.06,ny,02,0205,020501,02050101,0205010104,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,charlotte_creek
020501010404,kortright_creek,6.96,1800.31,17950.17,28.04,ny,02,0205,020501,02050101,0205010104,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,charlotte_creek
020501010405,middle_charlotte_creek,6.91,1736.5,28030.33,43.79,ny,02,0205,020501,02050101,0205010104,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,charlotte_creek
020501010406,lower_charlotte_creek,7.78,1544.29,9710.48,15.17,ny,02,0205,020501,02050101,0205010104,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,charlotte_creek
020501010501,west_branch_otego_creek,6.81,1625.81,12593.23,19.67,ny,02,0205,020501,02050101,0205010105,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,otego_creek
020501010502,upper_otego_creek,6.79,1606.33,19017.78,29.71,ny,02,0205,020501,02050101,0205010105,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,otego_creek
020501010503,middle_otego_creek,5.96,1465.02,17291.44,27.01,ny,02,0205,020501,02050101,0205010105,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,otego_creek
020501010504,lower_otego_creek,6.7,1475.98,20937.7,32.71,ny,02,0205,020501,02050101,0205010105,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,otego_creek
020501010601,cripple_creek,3.4,1466.86,10307.87,16.1,ny,02,0205,020501,02050101,0205010106,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,headwaters_susquehanna_river
020501010602,shadow_brook,5.13,1497.48,12440.55,19.43,ny,02,0205,020501,02050101,0205010106,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,headwaters_susquehanna_river
020501010603,hayden_creek-ostego_lake,5.89,1478.01,26797.82,41.87,ny,02,0205,020501,02050101,0205010106,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,headwaters_susquehanna_river
020501010604,red_creek-susquehanna_river,7.13,1546.76,30281.36,47.31,ny,02,0205,020501,02050101,0205010106,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,headwaters_susquehanna_river
020501010605,goodyear_lake-susquehanna_river,7.06,1496.69,27274.2,42.61,ny,02,0205,020501,02050101,0205010106,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,headwaters_susquehanna_river
020501010606,oneonta_creek-susquehanna_river,7.43,1484.57,15330.05,23.95,ny,02,0205,020501,02050101,0205010106,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,headwaters_susquehanna_river
020501010701,upper_wharton_creek,6.58,1569.73,13546.18,21.16,ny,02,0205,020501,02050101,0205010107,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,wharton_creek
020501010702,middle_wharton_creek,6.5,1535.84,21378.63,33.4,ny,02,0205,020501,02050101,0205010107,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,wharton_creek
020501010703,lower_wharton_creek,6,1453.9,24493.8,38.27,ny,02,0205,020501,02050101,0205010107,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,wharton_creek
020501010801,upper_butternut_creek,6.73,1617.06,21709.89,33.92,ny,02,0205,020501,02050101,0205010108,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,butternut_creek
020501010802,middle_butternut_creek,6.11,1493.84,28223,44.09,ny,02,0205,020501,02050101,0205010108,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,butternut_creek
020501010803,lower_butternut_creek,6.54,1481.68,33381.06,52.15,ny,02,0205,020501,02050101,0205010108,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,butternut_creek
020501010901,north_winfield_creek,4.5,1409.85,9985.18,15.6,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010902,west_branch_unadilla_river,5.44,1433.32,15689.99,24.51,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010903,headwaters_unadilla_river,4.47,1427.25,27016.42,42.21,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010904,beaver_creek,6.28,1555.45,21284.17,33.25,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010905,upper_unadilla_river,6.46,1467.63,23743.45,37.09,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010906,center_brook,6.15,1505.36,14561.29,22.75,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
020501010907,great_brook,6.83,1576,16655.11,26.02,ny,02,0205,020501,02050101,0205010109,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,unadilla_river
